workbook_sheet,item_type,title,league,relationship,mechanic,format,existing_support,disposition,destination,imported_count,creator_reachable,public_reachable,provenance_status,notes
GAME_IDEAS_2026_EXPANSION,game_idea,Two-Way Player Spotlight,Both,position_secondary,Trivia,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,State Pipeline Map,CFB,"hometown_city_state, team",Map/Geography,Map Overlay,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Hometown Heroes,Both,"hometown_city_state, high_school, position_primary",Progressive clue,Card Stack Progressive Clue,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Border War Roster Check,CFB,"hometown_city_state, team",Sorting,Grid Board (Tic-Tac-Toe style),"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
GAME_IDEAS_2026_EXPANSION,game_idea,Same City Showdown,Both,"hometown_city_state, team",Matching,Grid Board (Tic-Tac-Toe style),DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Elevation Estimator,Both,venue elevation_feet,Higher/Lower,Meter / Gauge Dial,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Road Trip Router,Both,"current_season_results, venue location",Sorting,Map Overlay,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Recruiting Hotbed Ranking,CFB,hometown_city_state,Sorting,Leaderboard Ticker,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,International Roster Spotlight,Both,hometown_city_state,Trivia,Card Stack Progressive Clue,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Portal Path: National,CFB,"previous_college_history_ordered, position_primary, hometown_city_state, jersey_number",Progressive clue,Card Stack Progressive Clue,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Transfer Trail Timeline,CFB,previous_college_history_ordered,Timeline sorting,Timeline Ribbon,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Portal Net Gain Ladder,CFB,transfer_portal_net_by_season,Sorting,Leaderboard Ticker,DATA READY - national (all 67 P4 teams already covered for this field),DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Reverse Portal Path,CFB,previous_college_history_ordered,Who Am I,Card Stack Progressive Clue,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Conference Jump Tracker,CFB,"previous_college_history_ordered, conference_and_division",Matching,Grid Board (Tic-Tac-Toe style),DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,One-and-Done Portal Stops,CFB,previous_college_history_ordered,Trivia,Quiz-Show Podium,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Draft-to-Roster Bridge,NFL,"previous_college_history_ordered (via alumni bridge), draft_year_round_pick",Matching,Two-Deep Flip Cards,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Career Arc Board,Both,"high_school, previous_college_history_ordered, draft_year_round_pick",Timeline,Story Branch Cards,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Recruiting Resume: National,CFB,"recruiting_star_rating, high_school, recruiting_offer_list",Progressive clue,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Star Rating Higher/Lower,CFB,recruiting_star_rating,Higher/Lower,Guess Ladder,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Recruiting Class Tier List,CFB,recruiting_class_rank_history,Tier list,Tier-List Drag Board,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Flip Alert,CFB,commitment_and_signing_dates,Trivia,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Offer Sheet Showdown,CFB,recruiting_offer_list,Progressive clue,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Position Need Draft,CFB,"recruiting_star_rating, position_primary, position_need",Draft/build,Roster Board / List Builder,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Early Enrollee Spotlight,CFB,early_enrollee_flag,Trivia,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Recruiting Rank Ladder,CFB,recruiting_class_rank_history,Sorting,Leaderboard Ticker,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Coordinator Carousel: National,CFB,coordinators_current,Matching,Grid Board (Tic-Tac-Toe style),"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
GAME_IDEAS_2026_EXPANSION,game_idea,Scheme Detective,Both,scheme_family_offense_defense,Multiple choice,Quiz-Show Podium,DATA READY - national (all 67 P4 teams already covered for this field),DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Coaching Tree Match,Both,"coaching_tree_lineage, previous_stops",Matching,Grid Board (Tic-Tac-Toe style),DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Contract Clock: National,Both,contract_length_public,Higher/Lower,Guess Ladder,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,First-Time Play Caller,CFB,previous_stops,Trivia,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Staff Directory Match,CFB,name_and_title (staff),Matching,Grid Board (Tic-Tac-Toe style),"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
GAME_IDEAS_2026_EXPANSION,game_idea,Coach of the Year Ballot,Both,award_history (coach),Bracket,Bracket Tree,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Alma Mater Connection,Both,alma_mater_and_playing_career,Trivia,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Championship Timeline,Both,championship_history,Timeline,Timeline Ribbon,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Record Book Reveal,Both,"single_game_program_records, career_program_records",Progressive clue,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Milestone Countdown,Both,program_milestones,Trivia,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Undefeated Season Tracker,Both,"championship_history, all_time_record",Trivia,Leaderboard Ticker,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Bowl History Bracket,CFB,bowl_or_playoff_history,Bracket,Bracket Tree,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,All-Time Head Coach Ladder,Both,"head_coach_history_timeline, career_win_loss_record",Sorting,Leaderboard Ticker,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Decade Dominance,Both,all_time_record,Trivia,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Rivalry Bracket,Both,"rivalry_list_and_trophy_names, rivalry_series_record",Bracket,Bracket Tree,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Trophy Trivia,Both,rivalry_list_and_trophy_names,Matching,Trophy Case Shelf,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Series Record Duel,Both,rivalry_series_record,Higher/Lower,Rivalry Scoreboard Duel,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Rivalry Week Predictor,Both,"current_season_results, rivalry_list_and_trophy_names",Prediction,Head-to-Head Split Screen,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Border Battle Geography,Both,"rivalry_list_and_trophy_names, venue location",Map/Geography,Map Overlay,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Iconic Rivalry Moment,Both,"notable_records_set, championship_history",Trivia,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Mascot Match,Both,mascot_and_nickname,Matching,Grid Board (Tic-Tac-Toe style),DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Traditions Trivia,Both,notable_traditions_list,Multiple choice,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Origin Story Guess,Both,mascot_origin_story,Trivia,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
